jpml_docket_number,jpml_court,jpml_case_name,jpml_status,jpml_link,jpml_court_code
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,nysd
7:21-cv-03943,S.D.N.Y.,Town of New Windsor et al v. United States of America et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048127743751938,nysd
7:21-cv-04373,S.D.N.Y.,Town of Ayer v. Dynax Corporation,CTO Final,www.bloomberglaw.com/product/blaw/document/2048127829517570,nysd
7:21-cv-04374,S.D.N.Y.,Bakman Water Company v. Dynax Corporation,CTO Final,www.bloomberglaw.com/product/blaw/document/2048127829678338,nysd
7:21-cv-04376,S.D.N.Y.,Emerald Coast Utilities Authority v. Dynax Corporation,CTO Final,www.bloomberglaw.com/product/blaw/document/2048127829678850,nysd
7:21-cv-04377,S.D.N.Y.,City of Sioux Falls v. Dynax Corporation,CTO Final,www.bloomberglaw.com/product/blaw/document/2048127829769474,nysd
7:21-cv-04399,S.D.N.Y.,City of Dayton v. Dynax Corporation,CTO Final,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Court:,,,,,
Court:,,,,,nysd
7:22-cv-04955,S.D.N.Y.,"Golden and Golden Building Company, Inc. v. 3M Company et al",Closed,www.bloomberglaw.com/product/blaw/document/2048130817633026,nysd
7:22-cv-06101,S.D.N.Y.,Hampton Bays Fire District v. The 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048131030749442,nysd
7:22-cv-08028,S.D.N.Y.,Village of Harriman v. The 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048131608147714,nysd
7:22-cv-10700,S.D.N.Y.,"Aqua Texas, Inc. v. 3M Company",CTO Final,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,
Court:,,,,,nysd
7:24-cv-07003,S.D.N.Y.,Krueger et al v. The 3M Company et al,CTO Final,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
Document,,,,,
